"Unicode","Symbol","Category","Unicode name","ru","en","pl","fr","de","es","pt","it","ro","he","ar","tr","vi","nl","Missing localized names"
"U+30","0","math","digit zero","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+31","1","math","digit one","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+32","2","math","digit two","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+33","3","math","digit three","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+34","4","math","digit four","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+35","5","math","digit five","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+36","6","math","digit six","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+37","7","math","digit seven","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+38","8","math","digit eight","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+39","9","math","digit nine","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2B","+","math","plus sign","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+3C","<","math","less-than sign","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+3D","=","math","equals sign","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+3E",">","math","greater-than sign","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+7C","|","math","vertical line","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+7E","~","math","tilde","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated",""
"U+AC","¬","math","not sign","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+B1","±","math","plus-minus sign","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated",""
"U+B2","²","math","superscript two","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated",""
"U+B3","³","math","superscript three","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated",""
"U+B9","¹","math","superscript one","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated",""
"U+BC","¼","math","vulgar fraction one quarter","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+BD","½","math","vulgar fraction one half","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+BE","¾","math","vulgar fraction three quarters","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+D7","×","math","multiplication sign","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated","curated",""
"U+F7","÷","math","division sign","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+3F6","϶","math","greek reversed lunate epsilon symbol","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+606","؆","math","arabic-indic cube root","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+607","؇","math","arabic-indic fourth root","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
